"행정구역","2024년11월_남_총인구수","2024년11월_남_연령구간인구수","2024년11월_남_0~9세","2024년11월_남_10~19세","2024년11월_남_20~29세","2024년11월_남_30~39세","2024년11월_남_40~49세","2024년11월_남_50~59세","2024년11월_남_60~69세","2024년11월_남_70~79세","2024년11월_남_80~89세","2024년11월_남_90~99세","2024년11월_남_100세 이상","2024년11월_여_총인구수","2024년11월_여_연령구간인구수","2024년11월_여_0~9세","2024년11월_여_10~19세","2024년11월_여_20~29세","2024년11월_여_30~39세","2024년11월_여_40~49세","2024년11월_여_50~59세","2024년11월_여_60~69세","2024년11월_여_70~79세","2024년11월_여_80~89세","2024년11월_여_90~99세","2024년11월_여_100세 이상"
"서울특별시  (1100000000)","4,507,664","4,507,664","248,988","369,160","618,386","721,116","685,509","731,718","626,930","348,091","144,068","13,368","330","4,827,831","4,827,831","236,534","352,556","694,359","719,488","702,180","755,916","697,519","421,988","210,459","35,681","1,151"
"서울특별시 종로구 (1111000000)","66,673","66,673","2,829","4,617","9,887","9,787","8,999","11,544","10,508","5,423","2,715","352","12","71,904","71,904","2,722","4,813","11,173","9,908","9,599","11,869","10,508","6,439","4,100","745","28"
"서울특별시 중구 (1114000000)","58,247","58,247","2,737","2,986","7,519","10,797","8,365","9,337","9,152","4,935","2,184","228","7","62,684","62,684","2,631","2,974","9,297","10,861","8,142","9,337","9,276","5,877","3,587","686","16"
"서울특별시 용산구 (1117000000)","97,628","97,628","5,226","6,608","12,640","18,079","14,562","15,954","13,884","6,919","3,283","457","16","106,451","106,451","5,072","6,333","15,208","18,672","14,919","16,773","14,565","8,505","5,368","1,000","36"
"서울특별시 성동구 (1120000000)","132,769","132,769","8,285","8,686","18,819","22,757","19,987","21,359","18,937","9,447","4,110","370","12","141,518","141,518","7,755","8,787","20,302","23,704","19,892","22,226","19,714","11,586","6,520","1,010","22"
"서울특별시 광진구 (1121500000)","159,576","159,576","7,280","11,637","26,388","27,633","22,882","25,402","21,977","11,217","4,706","441","13","172,995","172,995","6,941","11,444","30,715","27,770","23,829","26,995","24,030","13,376","6,747","1,113","35"
"서울특별시 동대문구 (1123000000)","166,095","166,095","8,754","11,371","26,268","25,650","24,377","26,309","23,766","13,228","5,832","528","12","173,516","173,516","8,501","11,035","29,518","24,517","23,055","25,833","24,900","16,046","8,749","1,324","38"
"서울특별시 중랑구 (1126000000)","185,591","185,591","9,082","11,965","22,605","29,694","27,030","31,355","30,939","16,053","6,348","510","10","193,950","193,950","8,802","11,364","25,136","28,510","24,951","32,191","33,114","18,976","9,365","1,494","47"
"서울특별시 성북구 (1129000000)","202,309","202,309","11,605","17,345","29,826","27,967","30,134","34,914","27,528","15,132","7,159","683","16","219,832","219,832","10,996","16,724","33,926","27,876","31,043","35,903","31,094","19,485","10,982","1,755","48"
"서울특별시 강북구 (1130500000)","136,992","136,992","5,446","9,378","17,081","18,205","19,759","24,595","22,789","13,105","6,134","488","12","146,942","146,942","5,181","9,055","19,272","16,413","18,394","25,200","25,235","17,498","9,405","1,258","31"
"서울특별시 도봉구 (1132000000)","146,848","146,848","6,731","11,182","17,711","19,197","20,491","25,674","25,109","14,064","6,133","544","12","156,620","156,620","6,324","10,420","18,143","18,206","20,400","27,759","28,273","16,453","9,100","1,493","49"
"서울특별시 노원구 (1135000000)","235,878","235,878","12,692","23,672","32,509","30,697","34,484","41,347","33,863","18,400","7,416","777","21","256,194","256,194","11,905","22,002","31,946","30,092","37,793","44,575","39,399","23,245","12,860","2,301","76"
"서울특별시 은평구 (1138000000)","218,310","218,310","11,337","17,577","27,468","32,325","33,272","37,321","32,186","17,890","8,208","709","17","242,776","242,776","10,878","16,771","31,967","33,907","34,226","40,232","37,179","23,401","12,350","1,814","51"
"서울특별시 서대문구 (1141000000)","143,714","143,714","8,464","10,844","21,547","22,168","21,173","23,557","19,655","10,506","5,245","544","11","159,739","159,739","8,061","10,931","25,559","22,691","21,794","25,045","22,069","13,832","8,405","1,298","54"
"서울특별시 마포구 (1144000000)","168,544","168,544","9,943","12,958","24,904","30,464","26,816","27,351","20,153","10,184","5,184","578","9","193,297","193,297","9,525","13,018","32,533","34,023","28,916","28,901","22,709","14,025","8,208","1,399","40"
