날짜,시간별 예측값,시간별 실제값,시간별 MAPE 평균 (%),하루 평균 MAPE (%)
20230104,"[851757.0, 803441.0, 765799.6666666666, 738646.6666666666, 725512.3333333334, 728604.3333333334, 744189.3333333334, 769659.0, 807152.0, 829876.3333333334, 803219.6666666666, 758071.3333333334, 727813.3333333334, 684996.3333333334, 684316.0, 698213.3333333334, 725147.6666666666, 803078.3333333334, 911489.3333333334, 947175.6666666666, 942421.6666666666, 922713.0, 891050.3333333334, 868532.6666666666]","[882114.0, 831080.0, 797260.0, 771268.0, 760540.0, 764588.0, 782259.0, 821623.0, 876602.0, 888897.0, 801718.0, 744380.0, 696617.0, 649645.0, 660180.0, 674789.0, 709686.0, 793644.0, 910138.0, 961796.0, 964079.0, 942092.0, 914858.0, 894495.0]",3.496926833590542,1.854238298539988
20230105,"[881590.3333333334, 803368.6666666666, 767663.3333333334, 740942.0, 729708.6666666666, 735638.6666666666, 754614.0, 788839.0, 841330.3333333334, 876355.0, 841677.3333333334, 787506.0, 743168.6666666666, 697536.3333333334, 707328.6666666666, 718255.0, 747819.0, 827731.0, 940107.3333333334, 978773.6666666666, 974619.6666666666, 954700.6666666666, 922241.0, 898528.3333333334]","[874608.0, 833089.0, 792867.0, 764571.0, 750420.0, 745376.0, 765092.0, 804400.0, 861308.0, 885661.0, 807942.0, 769511.0, 740682.0, 677616.0, 691746.0, 722068.0, 741035.0, 791514.0, 885323.0, 940842.0, 939920.0, 926090.0, 902873.0, 887816.0]",2.4912337593591296,0.8084795164211539
20230106,"[881226.0, 830459.3333333334, 791180.0, 763918.0, 751143.0, 753920.3333333334, 771452.0, 808359.0, 859518.0, 880717.6666666666, 828559.0, 776836.0, 736235.3333333334, 684080.0, 693350.6666666666, 712169.3333333334, 739938.0, 810789.0, 916002.0, 962787.6666666666, 960325.3333333334, 941894.6666666666, 914240.0, 894645.0]","[813641.0, 823146.0, 785004.0, 758683.0, 744618.0, 731342.0, 729145.0, 765154.0, 819809.0, 883927.0, 902107.0, 808521.0, 815994.0, 802575.0, 803412.0, 794395.0, 763052.0, 809692.0, 877611.0, 900856.0, 900072.0, 877530.0, 856078.0, 841244.0]",5.56400749772373,0.2863038333555823
20230107,"[856787.6666666666, 829105.0, 791710.3333333334, 764840.6666666666, 751859.3333333334, 747102.0, 758832.0, 797059.0, 852573.0, 886161.6666666666, 837255.6666666666, 774137.3333333334, 751097.6666666666, 709945.3333333334, 718446.0, 730417.3333333334, 737924.3333333334, 798283.3333333334, 891024.0, 934498.0, 934690.3333333334, 915237.3333333334, 891269.6666666666, 874518.3333333334]","[868013.0, 768487.0, 750286.0, 735131.0, 726283.0, 727548.0, 740795.0, 766854.0, 799426.0, 797134.0, 716088.0, 668425.0, 630637.0, 594130.0, 594156.0, 606120.0, 643034.0, 727823.0, 849570.0, 917513.0, 917796.0, 906901.0, 886041.0, 875048.0]",8.186601643200737,7.255910567765217
20230108,"[852087.3333333334, 808240.6666666666, 776052.3333333334, 752795.0, 740440.3333333334, 734755.3333333334, 745010.6666666666, 778802.6666666666, 826847.6666666666, 855574.0, 808712.3333333334, 748819.0, 729104.3333333334, 691440.3333333334, 696438.0, 707527.6666666666, 715707.0, 776343.0, 870834.6666666666, 919737.0, 919262.6666666666, 903507.0, 881664.0, 868036.0]","[824200.0, 829188.0, 795342.0, 775875.0, 763830.0, 763884.0, 776907.0, 799851.0, 821407.0, 780104.0, 645292.0, 590208.0, 558291.0, 538161.0, 541600.0, 559304.0, 594583.0, 666460.0, 779463.0, 867373.0, 881381.0, 874802.0, 855578.0, 838476.0]",11.266583896360956,7.8219919691043
20230109,"[835284.6666666666, 806940.3333333334, 776877.3333333334, 756563.0, 744910.3333333334, 740924.6666666666, 748949.0, 777286.3333333334, 813547.3333333334, 820388.3333333334, 754495.6666666666, 689051.3333333334, 668307.3333333334, 644955.3333333334, 646389.3333333334, 653273.0, 666889.6666666666, 734658.3333333334, 835548.0, 895247.3333333334, 899749.6666666666, 886411.0, 865899.0, 851589.3333333334]","[848294.0, 777864.0, 742080.0, 718015.0, 704344.0, 707857.0, 726227.0, 760012.0, 813036.0, 844761.0, 792756.0, 727942.0, 693317.0, 646804.0, 681504.0, 722834.0, 746641.0, 783419.0, 858718.0, 901709.0, 904970.0, 893312.0, 871592.0, 856956.0]",3.5790371358583206,1.1259211677701266
20230110,"[846835.6666666666, 791846.3333333334, 762569.3333333334, 743007.0, 731485.6666666666, 733096.3333333334, 747976.3333333334, 775572.3333333334, 811289.6666666666, 807333.0, 718045.3333333334, 662191.6666666666, 627415.0, 593031.6666666666, 605753.3333333334, 629419.3333333334, 661419.3333333334, 725900.6666666666, 829250.3333333334, 895531.6666666666, 901382.3333333334, 891671.6666666666, 871070.3333333334, 856826.6666666666]","[833475.0, 800137.0, 767326.0, 746863.0, 744726.0, 749446.0, 774695.0, 812637.0, 873538.0, 882839.0, 770794.0, 705870.0, 667670.0, 630362.0, 636641.0, 655678.0, 678852.0, 743459.0, 828217.0, 886620.0, 891977.0, 886942.0, 868213.0, 843238.0]",3.1187600682037213,2.464072281823309
20230111,"[835323.0, 802396.3333333334, 768249.3333333334, 746917.6666666666, 737633.3333333334, 740395.6666666666, 759276.3333333334, 790833.3333333334, 835993.6666666666, 835901.3333333334, 736280.6666666666, 674673.3333333334, 639759.3333333334, 605109.0, 619915.0, 645938.6666666666, 673358.6666666666, 731112.6666666666, 822132.6666666666, 885234.0, 892776.0, 885018.6666666666, 865127.6666666666, 846223.3333333334]","[838798.0, 792719.0, 763801.0, 739039.0, 727309.0, 731015.0, 750122.0, 783660.0, 835992.0, 844097.0, 737209.0, 672541.0, 627789.0, 586506.0, 594119.0, 610666.0, 643706.0, 711332.0, 806374.0, 890476.0, 902980.0, 893122.0, 870245.0, 854647.0]",1.5947502776771154,0.9188996088076501
20230112,"[840189.0, 790240.0, 757735.6666666666, 734639.0, 725459.6666666666, 729439.3333333334, 750348.0, 785436.3333333334, 840855.3333333334, 857232.3333333334, 766919.6666666666, 702117.6666666666, 662925.3333333334, 621224.0, 637421.3333333334, 663059.3333333334, 689733.0, 746070.0, 831103.0, 892935.0, 899975.6666666666, 891125.3333333334, 870016.6666666666, 851613.6666666666]","[731669.0, 786990.0, 747476.0, 719758.0, 701326.0, 692879.0, 705213.0, 722408.0, 768967.0, 782148.0, 741210.0, 771802.0, 758154.0, 763086.0, 790920.0, 798607.0, 795593.0, 808148.0, 830716.0, 840706.0, 826384.0, 804799.0, 774727.0, 752070.0]",8.913293551065166,0.662792954757523
20230113,"[801314.0, 793282.0, 759534.3333333334, 735220.0, 724453.6666666666, 724446.6666666666, 743343.3333333334, 772901.6666666666, 826165.6666666666, 836361.3333333334, 749737.6666666666, 716737.6666666666, 684537.6666666666, 659984.6666666666, 673893.3333333334, 688317.0, 706050.3333333334, 754313.0, 821769.0, 872600.6666666666, 873780.3333333334, 861621.0, 837728.3333333334, 816651.6666666666]","[716707.0, 684700.0, 643238.0, 615075.0, 602587.0, 605907.0, 616389.0, 645495.0, 690194.0, 757841.0, 799001.0, 802703.0, 772426.0, 726072.0, 752271.0, 747768.0, 745441.0, 755808.0, 781966.0, 786240.0, 777608.0, 759247.0, 738352.0, 727700.0]",12.678135534827014,6.863527446017375
